Page link,Infos,test2,Distance Year Color
https://divar.ir/v/-/wYXwI0Gi,[['پژو 405 GLX بنزینی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۲۰٬۰۰۰٬۰۰۰ تومان","[['۳۶۳٬۰۰۰'], [1387], ['نوک\u200cمدادی']]"
Page link,Infos,test2,Distance Year Color
https://divar.ir/v/-/wYXw4keV,[['پژو 405 GLX - دوگانه سوز CNG']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,ضربه‌خورده,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۹ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۹۹٬۵۰۰٬۰۰۰ تومان","[['۴۰۰٬۰۰۰'], [1386], ['نقره\u200cای']]"
Page link,Infos,test2,Distance Year Color
https://divar.ir/v/-/wYXwI0Gi,[['پژو 405 GLX بنزینی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۲۰٬۰۰۰٬۰۰۰ تومان","[['۳۶۳٬۰۰۰'], [1387], ['نوک\u200cمدادی']]"
https://divar.ir/v/-/wYXwYchK,[['پیکان وانت بنزینی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,رنگ‌شدگی,مهلت بیمهٔ شخص ثالث,۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۱۰٬۰۰۰٬۰۰۰ تومان","[['۲۰۰٬۰۰۰'], [1390], ['سفید']]"
https://divar.ir/v/-/wYXwYFQM,[['پیکان بنزینی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۱۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۲۸٬۰۰۰٬۰۰۰ تومان","[['۱۰۰٬۰۰۰'], [1381], ['سفید']]"
https://divar.ir/v/-/wYXw4keV,[['پژو 405 GLX - دوگانه سوز CNG']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,ضربه‌خورده,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۹ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۹۹٬۵۰۰٬۰۰۰ تومان","[['۴۰۰٬۰۰۰'], [1386], ['نقره\u200cای']]"
https://divar.ir/v/-/wYXwYZlc,[['پژو پارس دوگانه سوز']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۸ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۶۸٬۰۰۰٬۰۰۰ تومان","[['۲۰۰٬۰۰۰'], [1391], ['دلفینی']]"
https://divar.ir/v/-/wYLMKqNP,[['پراید صندوق\u200cدار بنزینی']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,رنگ‌شده,شاسی عقب,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۶ ماه,نحوه فروش,نقدی,قیمت فروش نقدی,۳۵٬۰۰۰٬۰۰۰ تومان","[['۲۷۸٬۴۸۲'], [1380], ['سفید']]"
https://divar.ir/v/-/wYXwYr9f,[['تیبا هاچبک EX']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۱۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۷۵٬۰۰۰٬۰۰۰ تومان","[['۵۰٬۰۰۰'], [1398], ['سفید']]"
https://divar.ir/v/-/wYXwIZ8b,[['تیبا صندوق\u200cدار SX']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۸۸٬۰۰۰٬۰۰۰ تومان","[['۲۱٬۰۰۰'], [1399], ['سفید']]"
https://divar.ir/v/-/wYXwYYmh,[['پراید 131 SE']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۹ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۷۳٬۰۰۰٬۰۰۰ تومان","[['۲۴٬۰۰۰'], [1399], ['سفید']]"
https://divar.ir/v/-/wYXwYXLQ,[['پراید صندوق\u200cدار LPG']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,ضربه‌خورده,شاسی عقب,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۹ ماه,نحوه فروش,نقدی,قیمت فروش نقدی,۵۸٬۰۰۰٬۰۰۰ تومان","[['۵۵٬۵۵۵'], [1384], ['نقره\u200cای']]"
https://divar.ir/v/-/wYXw4yI2,[['پراید 131 SE']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۱۰ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۸۱٬۰۰۰٬۰۰۰ تومان","[['۲٬۰۰۰'], [1399], ['سفید']]"
https://divar.ir/v/-/wYXwIkD-,[['تیبا هاچبک EX']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,ضربه‌خورده,شاسی عقب,سالم و پلمپ,وضعیت بدنه,صافکاری بی‌رنگ,مهلت بیمهٔ شخص ثالث,۵ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۵۵٬۰۰۰٬۰۰۰ تومان","[['۱۶۰٬۰۰۰'], [1396], ['سفید']]"
https://divar.ir/v/-/wYXwY5HE,[['پیکان وانت CNG']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۵۵٬۰۰۰٬۰۰۰ تومان","[['۲۷۰٬۰۰۰'], [1392], ['سفید صدفی']]"
https://divar.ir/v/-/wYXwYzAC,[['سمند SE']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۲۵٬۰۰۰٬۰۰۰ تومان","[['۹۰٬۰۰۰'], [1390], ['آبی']]"
https://divar.ir/v/-/wYXw4gEm,[['سمند سورن معمولی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۱۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۵۳٬۰۰۰٬۰۰۰ تومان","[['۱٬۱۱۱'], [1386], ['مشکی']]"
https://divar.ir/v/-/wYX0IE4a,[['پژو 206 تیپ ۲']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۸ ماه,گیربکس,دنده‌ای,نحوه فروش,قسطی,قیمت فروش نقدی,۱۱۰٬۰۰۰٬۰۰۰ تومان","[['۳۹۲٬۹۱۷'], [1383], ['بژ']]"
https://divar.ir/v/-/wYXsY7Zk,[['پژو 405 GLX بنزینی']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,تمام‌رنگ,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۸۸٬۰۰۰٬۰۰۰ تومان","[['۲٬۸۰۰'], [1384], ['مشکی']]"
https://divar.ir/v/-/wYXsYO0p,[['پراید 111 SE']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۱ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۲۵٬۰۰۰٬۰۰۰ تومان","[['۱۹۳٬۰۰۰'], [1395], ['سفید']]"
https://divar.ir/v/-/wYXw4P00,[['پژو پارس ساده']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۹ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۹۸٬۰۰۰٬۰۰۰ تومان","[['۳۲۰٬۰۰۰'], [1381], ['مشکی']]"
https://divar.ir/v/-/wYXsoIMO,[['پراید 111 SE']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۴ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۴۵٬۰۰۰٬۰۰۰ تومان","[['۱۲۰٬۰۰۰'], [1394], ['سفید']]"
https://divar.ir/v/-/wYXwYBY5,[['کیا ریو مونتاژ دنده\u200cای']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۷۰٬۰۰۰٬۰۰۰ تومان","[['۱۳۰٬۰۰۰'], [1387], ['سفید']]"
https://divar.ir/v/-/wYX83ki2,[['پژو 206 تیپ ۲']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,ضربه‌خورده,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۰۵٬۰۰۰٬۰۰۰ تومان","[['۳۰۰٬۰۰۰'], [1384], ['نوک\u200cمدادی']]"
https://divar.ir/v/-/wYXw4I7u,[['پراید 141 ساده']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۴ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۹۸٬۰۰۰٬۰۰۰ تومان","[['۳۰۳٬۰۱۷'], [1387], ['نوک\u200cمدادی']]"
https://divar.ir/v/-/wYXwIIUI,[['پراید صندوق\u200cدار بنزینی']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,ضربه‌خورده,شاسی عقب,سالم و پلمپ,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۱۱ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۴۵٬۰۰۰٬۰۰۰ تومان","[['۸۸٬۴۴۵'], [1382], ['یشمی']]"
https://divar.ir/v/-/wYT0lx85,[['پژو 405 GLi - دوگانه سوز CNG']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,رنگ‌شدگی,مهلت بیمهٔ شخص ثالث,۳ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی و قسطی,قیمت فروش نقدی,۹۸٬۰۰۰٬۰۰۰ تومان","[['۳۵۸٬۷۴۹'], [1385], ['نقره\u200cای']]"
https://divar.ir/v/-/wYXsY79_,[['پژو 206 تیپ ۲']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,رنگ‌شدگی,مهلت بیمهٔ شخص ثالث,۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۶۸٬۰۰۰٬۰۰۰ تومان","[['۲۱۳٬۰۰۰'], [1389], ['سفید']]"
https://divar.ir/v/-/wYXso_6D,[['سمند LX ساده']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۸ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۳۰٬۰۰۰٬۰۰۰ تومان","[['۲۵٬۰۰۰'], [1389], ['خاکستری']]"
https://divar.ir/v/-/wYXw4nPR,[['پراید صندوق\u200cدار CNG']],"برند و تیپ,وضعیت موتور,سالم,شاسی جلو,ضربه‌خورده,شاسی عقب,سالم و پلمپ,وضعیت بدنه,دوررنگ,مهلت بیمهٔ شخص ثالث,۹ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۷۰٬۰۰۰٬۰۰۰ تومان","[['۳۰۰٬۰۰۰'], [1386], ['بژ']]"
https://divar.ir/v/-/wYXsYXm4,[['پراید 111 SE']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۱۱ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۷۳٬۰۰۰٬۰۰۰ تومان","[['۴۱٬۰۰۰'], [1398], ['سفید']]"
https://divar.ir/v/-/wYXsYRtW,[['سمند X7 دوگانه سوز']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,خط و خش جزیی,مهلت بیمهٔ شخص ثالث,۱۱ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۸۰٬۰۰۰٬۰۰۰ تومان","[['۲۰۰٬۰۰۰'], [1384], ['نقره\u200cای']]"
https://divar.ir/v/-/wYXworo5,[['پراید 131 SE']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۶ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۴۰٬۰۰۰٬۰۰۰ تومان","[['۱۰۰٬۰۰۰'], [1396], ['سفید']]"
https://divar.ir/v/-/wYXo41oZ,[['پراید 111 SX']],"برند و تیپ,وضعیت موتور,سالم,وضعیت شاسی‌ها,سالم و پلمپ,وضعیت بدنه,سالم و بی‌خط و خش,مهلت بیمهٔ شخص ثالث,۲ ماه,گیربکس,دنده‌ای,نحوه فروش,نقدی,قیمت فروش نقدی,۱۱۵٬۰۰۰٬۰۰۰ تومان","[['۲۷٬۰۰۰'], [1390], ['سفید']]"
