Distance,Year,Color,MotorState,ChassisState,Guarantee,GearboxModel,PaymentMode,Price
۵۰٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۲۵۰٬۰۰۰,1389,مشکی,سالم,ضربه‌خورده,سالم و پلمپ,دوررنگ,۷ ماه,دنده‌ای
۱۸۹٬۰۰۰,1392,سفید,سالم,رنگ‌شده,دوررنگ,۶ ماه,دنده‌ای,نقدی
۱۳۰٬۰۰۰,1391,نقره‌ای,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,دنده‌ای,نقدی
۱۰۰٬۰۰۰,1385,مشکی,سالم,صافکاری بی‌رنگ,۷ ماه,دنده‌ای,نقدی,۷۵٬۰۰۰٬۰۰۰ تومان
۱۶۰٬۰۰۰,2012,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی
۱۳۰٬۰۰۰,2016,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,"نقدی, قابل معاوضه"
۲۰۰٬۰۰۰,1389,سفید,سالم,ضربه‌خورده,دوررنگ,۴ ماه,دنده‌ای,نقدی
۹۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۳۹۰٬۰۰۰,1385,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی
۲۳۰٬۰۰۰,2009,بژ,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,"نقدی, قابل معاوضه"
۲۹٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۴۲٬۰۰۰,1400,دلفینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۲۶٬۰۰۰,1397,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی
۳۰۰٬۰۰۰,1384,نوک‌مدادی,سالم,سالم و پلمپ,رنگ‌شدگی,۸ ماه,دنده‌ای,نقدی
۲۰۰٬۰۰۰,1387,خاکستری,سالم,سالم و پلمپ,رنگ‌شدگی,۱۲ ماه,اتوماتیک,نقدی
۱۷۰٬۰۰۰,1393,آبی,سالم,رنگ‌شدگی,۴ ماه,دنده‌ای,نقدی,۳۰۰٬۰۰۰٬۰۰۰ تومان
۱۲٬۳۴۵,1389,زرد,تعویض شده,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی
۳۰۰٬۰۰۰,1386,خاکستری,سالم,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی,۱۵۳٬۰۰۰٬۰۰۰ تومان
۲۳۵٬۰۰۰,2008,بژ,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,"نقدی, قابل معاوضه"
۱۴۰٬۰۰۰,2013,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۴۶٬۳۵۰,1389,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی
۱۷۰٬۰۰۰,1391,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۵ ماه,دنده‌ای,نقدی
۸۴٬۰۰۰,1396,سفید,سالم,رنگ‌شدگی,۴ ماه,دنده‌ای,"نقدی, قابل معاوضه",برای معاوضه
۲۲۰٬۰۰۰,1383,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۳۲۰٬۰۰۰,1387,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,دنده‌ای,نقدی
۱۴۲٬۰۰۰,2013,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی
۳۰۰٬۰۰۰,1378,سفید صدفی,سالم,خط و خش جزیی,۸ ماه,دنده‌ای,نقدی,۴۵٬۰۰۰٬۰۰۰ تومان
۶۶٬۰۰۰,1397,سفید صدفی,سالم,سالم و پلمپ,دوررنگ,۱۱ ماه,دنده‌ای,نقدی
۵۰٬۰۰۰,1395,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۲۷۹٬۰۰۰,1993,آبی,سالم,ضربه‌خورده,سالم و پلمپ,دوررنگ,۸ ماه,دنده‌ای
۹۰٬۰۰۰,1395,مشکی,سالم,رنگ‌شدگی,۵ ماه,اتوماتیک,نقدی,توافقی
۱۱۱٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۱۴۰٬۰۰۰,2015,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,اتوماتیک,نقدی
۱۰۵٬۰۰۰,2016,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۲۴۰٬۰۰۰,1384,سرمه‌ای,سالم,سالم و پلمپ,رنگ‌شدگی، در ۲ ناحیه,۱۲ ماه,دنده‌ای,نقدی
۱٬۲۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۵۳٬۸۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۹۶٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی
۰,1401,زرد,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,"نقدی, قابل معاوضه"
۳۷٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۱۸۰٬۰۰۰,2011,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,دنده‌ای,نقدی
۱۳۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی
۹۰٬۰۰۰,1398,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۶۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی
۲٬۶۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,دنده‌ای,نقدی,۲۸۶٬۰۰۰٬۰۰۰ تومان
۸۷٬۰۰۰,2014,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,اتوماتیک,نقدی
۳۰٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,دنده‌ای,نقدی
۱۹٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,دنده‌ای,نقدی
۶۶٬۰۰۰,1398,سفید,سالم,ضربه‌خورده,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای
۴۰۰٬۰۰۰,1386,سفید,سالم,سالم و پلمپ,دوررنگ,۳ ماه,دنده‌ای,نقدی و قسطی
۴۵٬۰۰۰,2017,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۱۶۵٬۰۰۰,1396,آبی,سالم,ضربه‌خورده,دوررنگ,۶ ماه,دنده‌ای,نقدی
۲۴۳٬۰۰۰,2011,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,توافقی
۱۱٬۵۰۰,1397,سفید,سالم,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی,۱٬۲۶۰٬۰۰۰٬۰۰۰ تومان
۳۴۰٬۰۰۰,1391,سفید,سالم,ضربه‌خورده,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای
۱۰۷٬۰۰۰,2014,مسی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,اتوماتیک,نقدی
۱۰٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۳۰۶٬۵۴۳,1384,نقره‌ای,سالم,سالم و پلمپ,رنگ‌شدگی,۱ ماه,دنده‌ای,نقدی
۷۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۳ ماه,اتوماتیک,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی و قسطی
۵۸٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,دنده‌ای,نقدی,۱۴۵٬۰۰۰٬۰۰۰ تومان
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,قسطی
۵۵٬۰۰۰,1390,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,دنده‌ای,نقدی
۲۳۰٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱ ماه,دنده‌ای,نقدی
۱۵۵٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,دنده‌ای,نقدی
۱۳۸٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۸ ماه,دنده‌ای,نقدی
۲۲٬۵۰۰,1400,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۱۶۷٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,برای معاوضه
۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,اتوماتیک,نقدی,غیرقابل نمایش
۲۴۰٬۰۰۰,1389,خاکستری,سالم,سالم و پلمپ,دوررنگ,۷ ماه,دنده‌ای,نقدی
۲۱۰٬۰۰۰,1393,سفید,سالم,ضربه‌خورده,رنگ‌شده,تمام‌رنگ,۱۰ ماه,دنده‌ای
۹۵٬۰۰۰,1396,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,دنده‌ای,نقدی
۴۶٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۱۷۰٬۰۰۰,1395,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,دنده‌ای,نقدی
۱۲۰٬۰۰۰,1395,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۲۲٬۰۰۰,1400,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۹ ماه,دنده‌ای,نقدی
۹۳٬۰۰۰,1393,سفید,سالم,ضربه‌خورده,سالم و پلمپ,رنگ‌شدگی,۷ ماه,دنده‌ای
۲۰۰٬۰۰۰,1391,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۸ ماه,دنده‌ای,نقدی
۶۰٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,اتوماتیک,نقدی
۱۴۷٬۰۰۰,1392,سفید,سالم,سالم و پلمپ,ضربه‌خورده,رنگ‌شدگی,۱ ماه,دنده‌ای
۸۸٬۰۰۰,1395,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی
۲۱۸٬۰۰۰,2009,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,اتوماتیک,نقدی
۱۸۰٬۰۰۰,1390,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۴ ماه,دنده‌ای,نقدی
۲۵۰٬۰۰۰,1389,نقره‌ای,سالم,سالم و پلمپ,دوررنگ,۷ ماه,دنده‌ای,نقدی
۶۲٬۰۰۰,1397,سفید صدفی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۱۱۰٬۰۰۰,1394,دلفینی,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۱۰۴٬۰۰۰,1396,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۲۳٬۰۰۰,1397,نوک‌مدادی,سالم,سالم و پلمپ,خط و خش جزیی,اتوماتیک,نقدی,۴۵۵٬۰۰۰٬۰۰۰ تومان
۱۴٬۶۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۳۸٬۰۰۰,1400,مشکی,سالم,سالم و پلمپ,ضربه‌خورده,تصادفی,۴ ماه,دنده‌ای
۱۴٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۳٬۷۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۱۵٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۲ ماه,دنده‌ای,نقدی
۶۶٬۰۰۰,1399,سفید,سالم,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی,۲۵۰٬۰۰۰٬۰۰۰ تومان
۵۵٬۰۰۰,2017,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۱۵۰٬۰۰۰,1394,سفید,سالم,سالم و پلمپ,دوررنگ,۲ ماه,اتوماتیک,نقدی
۱۲۰٬۰۰۰,2010,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۳۰٬۰۰۰,1382,سفید صدفی,سالم,سالم و پلمپ,دوررنگ,۶ ماه,دنده‌ای,نقدی
۲۵٬۰۰۰,1400,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۸۸٬۰۰۰,1398,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی
۱۴۱٬۰۰۰,2013,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۳۰۰٬۰۰۰,1383,سفید,سالم,سالم و پلمپ,تمام‌رنگ,۶ ماه,دنده‌ای,نقدی
۴۰۰٬۰۰۰,1385,سفید,سالم,سالم و پلمپ,دوررنگ,۵ ماه,دنده‌ای,نقدی
۲۵۵٬۰۰۰,2012,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,۱۱ ماه,اتوماتیک,نقدی
۴۲٬۰۰۰,1398,تیتانیوم,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی
۶۷٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۷٬۰۰۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,نقدی
۴٬۵۰۰,1399,قهوه‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,۲۱۵٬۰۰۰٬۰۰۰ تومان
۱۰۵٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۵ ماه,اتوماتیک,نقدی
۱۲۸٬۰۰۰,1393,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۲۷۷٬۷۸۰,1381,ذغالی,سالم,رنگ‌شده,تمام‌رنگ,۸ ماه,دنده‌ای,نقدی
۶۹٬۰۰۰,1397,سفید,سالم,ضربه‌خورده,دوررنگ,۶ ماه,اتوماتیک,نقدی
۳۴۰٬۰۰۰,1386,نقره‌ای,سالم,سالم و پلمپ,رنگ‌شدگی,۵ ماه,دنده‌ای,نقدی
۳۲۰٬۰۰۰,1388,مشکی,سالم,سالم و پلمپ,دوررنگ,۵ ماه,دنده‌ای,نقدی
۵۸٬۰۰۰,2016,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی
۹۰٬۰۰۰,2014,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۵ ماه,اتوماتیک,نقدی
۱۱۱٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۱۷۰٬۰۰۰,1397,سفید,سالم,ضربه‌خورده,سالم و پلمپ,صافکاری بی‌رنگ,۳ ماه,دنده‌ای
۴۷۰٬۰۰۰,1381,قرمز,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۱۴۸٬۰۰۰,1392,سفید,سالم,سالم و پلمپ,رنگ‌شدگی,۳ ماه,دنده‌ای,نقدی
۴۷٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,اتوماتیک,نقدی
۱۷۰٬۰۰۰,1395,دلفینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱ ماه,دنده‌ای,نقدی
۱۱۳٬۰۰۰,1390,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,دنده‌ای,نقدی
۹۴٬۰۰۰,1396,خاکستری,سالم,سالم و پلمپ,خط و خش جزیی,۳ ماه,دنده‌ای,نقدی
۹٬۰۰۰,1398,آبی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۳۲۵٬۰۰۰,1384,یشمی,سالم,سالم و پلمپ,رنگ‌شدگی، در ۲ ناحیه,۶ ماه,دنده‌ای,نقدی
۲۰۰٬۰۰۰,1387,نقره‌ای,سالم,سالم و پلمپ,رنگ‌شدگی,۵ ماه,دنده‌ای,نقدی
۱۸۰٬۰۰۰,1385,بژ,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,دنده‌ای,نقدی
۳۰٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,اتوماتیک,نقدی,۶۴۰٬۰۰۰٬۰۰۰ تومان
۱۲۵٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
۱۲۱٬۰۰۰,1397,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی
۸۳٬۰۰۰,2017,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,اتوماتیک,نقدی
۶۱٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۱۰۰٬۰۰۰,1395,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,نقدی
۷۷٬۰۰۰,1396,مشکی,سالم,سالم و پلمپ,خط و خش جزیی,۱۲ ماه,اتوماتیک,نقدی
۴۵٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۰ ماه,اتوماتیک,نقدی
۰,1401,مشکی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,قسطی
۲۰۰٬۰۰۰,1993,مشکی,تعویض شده,سالم و پلمپ,تمام‌رنگ,۹ ماه,دنده‌ای,نقدی
۲۹۶٬۰۰۰,1382,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,دنده‌ای,"نقدی, قابل معاوضه"
۱۰۰٬۰۰۰,1395,گیلاسی,سالم,سالم و پلمپ,رنگ‌شدگی,۳ ماه,دنده‌ای,نقدی
۷۸٬۰۰۰,1398,سفید صدفی,سالم,سالم و پلمپ,خط و خش جزیی,اتوماتیک,نقدی,۴۵۵٬۰۰۰٬۰۰۰ تومان
۲۹۰٬۰۰۰,2008,مشکی,سالم,سالم و پلمپ,رنگ‌شدگی، در ۲ ناحیه,۱۲ ماه,اتوماتیک,نقدی
۵۸٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,خط و خش جزیی,۶ ماه,دنده‌ای,نقدی
۸۷٬۰۰۰,1397,مشکی,سالم,سالم و پلمپ,صافکاری بی‌رنگ,۱۲ ماه,اتوماتیک,نقدی
۱۳۰٬۰۰۰,2014,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,اتوماتیک,نقدی
۷۰٬۰۰۰,1396,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی
۱۳۰٬۰۰۰,1395,خاکستری,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۶ ماه,دنده‌ای,نقدی
۲۶٬۰۰۰,1399,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,اتوماتیک,نقدی
۳۱۲٬۰۰۰,1383,سرمه‌ای,سالم,سالم و پلمپ,رنگ‌شدگی,۶ ماه,دنده‌ای,نقدی
۱۵۵٬۰۰۰,1392,نقره‌ای,سالم,سالم و پلمپ,خط و خش جزیی,۷ ماه,دنده‌ای,نقدی
۱۰۰٬۰۰۰,1398,نقره‌ای,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,نقدی
۹۰٬۰۰۰,1396,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۷ ماه,اتوماتیک,نقدی
۰,1401,سفید,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۲ ماه,دنده‌ای,نقدی
